WasteFlow;Veolia Bonneuil;TVL;Ecoembes
Combination;Bois <300mm;Acier;
Metal;Bois >300mm;Alu;
Plastic_LDPE;Papiers;Petit ALU;
Glass;Cartons;PCNC;
Fibrous_Cardboard;Plastiques souples;Carton;
Fibrous_Paper;Plastiques rigides hors PVC <300mm;JRM;
Organic;Plastiques rigides hors PVC >300mm;GM;
Wood;PVC blancs etr gris <300mm;PCC;
EWaste(e_waste);PVC blancs et gris >300mm;PET Clair;
Other;Mousses PS;PE/PP;
Rubble;Mousses non PS (PU);Flux dev;
Plastic_PET;Textiles;Films PE;
Plastic_HDPE;Ferreux;Autres Films Valo;
Metal_Ferrous_Steel;Ferreux > 300;Refus;
Metal_NonFerrous_Aluminium;Inertes/laines minérales;Verre;
Metal_NonFerrous_Copper;Platre;Sacs;
Fibrous_Fabric;D3E;Imbriqués maison;
FullPlasticBag;Déchets assimilés OM/refus/complexes/intriables;Imbriqués collecte;
(Full_plastic_bag);Déchets assimilés OM/refus/complexes/intriables >300;Emballages non valorisables;
Background;Déchets dangereux;Textile;
(background);Fines <20mm;Emballages pleins;
Plastic_PVC;;Autres refus;
Human;;Fines;
Plastic;;;
Fibrous_Cardboard_Raw_NonBrown;;;
Fibrous_Paper_Magazine;;;
Fibrous_Cardboard_Raw_Brown;;;
Fibrous_Paper_Mixed;;;
Plastic_PP;;;
Plastic_PS;;;
Plastic_PS_Packaging;;;
Plastic_PS_Foam;;;
Plastic_PET_Packaging;;;
Plastic_PET_Bottles;;;
Plastic_LDPE_Packaging;;;
Plastic_LDPE_Film;;;
Plastic_HDPE_Packaging;;;
Plastic_HDPE_Rigid;;;
Plastic_Brik;;;
Metal_NonFerrous_Aluminium_Cans;;;
Metal_NonFerrous_Aluminium_Packaging;;;
Metal_NonFerrous_Aluminium_Bars;;;
Metal_Ferrous_Steel_Packaging;;;
Metal_Ferrous_Steel_Rigid;;;
Metal_Ferrous;;;
Metal_NonFerrous;;;
Plastic_PET_Bottles_Clear_White;;;
Plastic_PET_Bottles_Clear_Blue;;;
Plastic_PET_Bottles_Clear_Green;;;
Plastic_PET_Bottles_Clear_Brown;;;
Plastic_PET_Bottles_Clear;;;
Plastic_PET_Bottles_Opaque;;;
Fibrous_Cardboard_Folding;;;
Fibrous_Cardboard_Raw;;;
Fibrous_Cardboard_Plastified;;;
Rubble_Plaster;;;
Rubble_Concrete;;;
Rubble_Tile;;;
Rubble_Rock;;;
Rubble_Mixed;;;
Metal_NonFerrous_Aluminium_Rigid;;;
Plastic_LDPE_Foam;;;
Plastic_PS_Foam_XPS;;;
Plastic_PS_Foam_EPS;;;
Plastic_PUR_Foam;;;
Plastic_PUR_Rigid;;;
Plastic_PUR;;;
Fibrous;;;
Fibrous_MineralWool;;;
